,Genes,Norm_Symbol,Phosphosite_hu_no
264,ADAM22,ADAM22,30
265,ADAM23,ADAM23,12
266,ADAM28,ADAM28,3
267,ADAM29,ADAM29,1
268,ADAM30,ADAM30,2
269,ADAM32,ADAM32,10
270,ADAM33,ADAM33,2
271,ADAM7,ADAM7,6
272,ADAM8,ADAM8,4
273,ADAM9,ADAM9,24
274,ADAMDEC1,ADAMDEC1,1
275,ADAMTS1,ADAMTS1,8
276,ADAMTS10,ADAMTS10,10
277,ADAMTS12,ADAMTS12,14
278,ADAMTS13,ADAMTS13,10
279,ADAMTS14,ADAMTS14,4
280,ADAMTS15,ADAMTS15,2
281,ADAMTS16,ADAMTS16,5
282,ADAMTS17,ADAMTS17,3
283,ADAMTS18,ADAMTS18,12
284,ADAMTS19,ADAMTS19,6
285,ADAMTS2,ADAMTS2,8
286,ADAMTS20,ADAMTS20,13
287,ADAMTS3,ADAMTS3,5
288,ADAMTS4,ADAMTS4,4
289,ADAMTS5,ADAMTS5,8
290,ADAMTS6,ADAMTS6,2
291,ADAMTS7,ADAMTS7,9
292,ADAMTS8,ADAMTS8,6
293,ADAMTS9,ADAMTS9,7
294,ADAMTSL1,ADAMTSL1,21
295,ADAMTSL2,ADAMTSL2,7
296,ADAMTSL3,ADAMTSL3,11
297,ADAR,ADAR,52
298,ADARB2,ADARB2,12
299,ADAT1,ADAT1,11
300,ADAT3,ADAT3,4
301,AZIN2,AZIN2,1
302,ADCK1,ADCK1,5
303,ADCK2,ADCK2,3
304,COQ8A,COQ8A,3
305,ADCK5,ADCK5,5
306,ADCY1,ADCY1,11
307,ADCY2,ADCY2,8
308,ADCY3,ADCY3,15
309,ADCY4,ADCY4,6
310,ADCY5,ADCY5,12
311,ADCY6,ADCY6,10
312,ADCY7,ADCY7,13
313,ADCY8,ADCY8,6
314,ADCY9,ADCY9,32
315,ADCYAP1,ADCYAP1,4
316,ADCYAP1R1,ADCYAP1R1,4
317,ADD1,ADD1,54
318,ADD2,ADD2,44
319,ADD3,ADD3,41
320,ADGB,ADGB,30
321,ADGRE4P,ADGRE4P,3
322,ADH1A,ADH1A,12
323,ADH1B,ADH1B,14
324,ADH1C,ADH1C,10
325,ADH4,ADH4,9
326,ADH5,ADH5,8
327,ADH6,ADH6,4
328,ADH7,ADH7,3
329,ADHFE1,ADHFE1,4
330,ADI1,ADI1,3
331,ADIPOR1,ADIPOR1,5
332,ADIPOR2,ADIPOR2,1
333,ADIRF,ADIRF,7
334,ADK,ADK,2
335,ADM,ADM,3
336,ADNP,ADNP,49
337,ADNP2,ADNP2,16
338,ADO,ADO,2
339,ADORA2A,ADORA2A,1
340,ADORA3,ADORA3,1
341,ADPGK,ADPGK,3
342,ADPRH,ADPRH,5
343,ADPRHL1,ADPRHL1,1
344,ADPRHL2,ADPRHL2,3
345,ADRA1A,ADRA1A,20
346,ADRA1B,ADRA1B,7
347,ADRA1D,ADRA1D,13
348,ADRA2A,ADRA2A,15
349,ADRA2C,ADRA2C,3
350,ADRB1,ADRB1,13
351,ADRB2,ADRB2,24
352,FDX1,FDX1,10
353,ADRM1,ADRM1,19
354,ADSL,ADSL,12
355,ADSS,ADSS,8
356,ADSSL1,ADSSL1,10
357,ADTRP,ADTRP,2
358,AEBP1,AEBP1,7
359,AEBP2,AEBP2,20
360,AEN,AEN,3
361,EOGT,EOGT,2
362,AES,TLE5,7
363,AFF1,AFF1,39
364,AFDN,AFDN,129
365,EQTN,EQTN,6
366,AFAP1,AFAP1,56
367,AFAP1L1,AFAP1L1,27
368,AFAP1L2,AFAP1L2,45
369,AFF2,AFF2,20
370,AFF3,AFF3,33
371,AFG3L2,AFG3L2,13
372,AFMID,AFMID,2
373,AFP,AFP,6
374,AFTPH,AFTPH,35
375,C11ORF96,C11ORF96,14
376,AGA,AGA,3
377,AGAP11,AGAP11,13
378,AGAP4,AGAP4,4
379,AGAP5,AGAP5,1
380,AGBL1,AGBL1,3
381,AGBL2,AGBL2,6
382,AGBL3,AGBL3,11
383,AGBL4,AGBL4,2
384,AGBL5,AGBL5,9
385,AGGF1,AGGF1,14
386,AGK,AGK,4
387,AGMAT,AGMAT,1
388,AGMO,AGMO,5
389,AGO1,AGO1,13
390,AGO2,AGO2,24
391,AGO3,AGO3,21
392,AGO4,AGO4,9
393,POMGNT2,POMGNT2,6
394,AGPAT1,AGPAT1,3
395,AGPAT2,AGPAT2,8
396,AGPAT3,AGPAT3,4
397,AGPAT4,AGPAT4,8
398,AGPAT5,AGPAT5,8
399,GPAT4,GPAT4,7
400,LPCAT4,LPCAT4,4
401,LCLAT1,LCLAT1,2
402,GPAT3,GPAT3,6
403,AGPS,AGPS,15
404,AGR2,AGR2,10
405,AGR3,AGR3,3
406,AGRN,AGRN,14
407,AGTRAP,AGTRAP,6
408,AGXT,AGXT,6
409,AGXT2,AGXT2,5
410,PHYKPL,PHYKPL,2
411,AHCYL1,AHCYL1,20
412,AHCYL2,AHCYL2,28
413,AHDC1,AHDC1,56
414,AHI1,AHI1,22
415,AHNAK,AHNAK,370
416,AHNAK2,AHNAK2,251
417,AHR,AHR,11
418,AHRR,AHRR,6
419,AHSA1,AHSA1,10
420,AHSA2P,AHSA2P,2
421,SYNE4,SYNE4,4
422,VMAC,VMAC,1
423,AICDA,AICDA,6
424,AIDA,AIDA,11
425,ANKS1B,ANKS1B,16
426,AIF1,AIF1,9
427,AIFM2,AIFM2,5
428,AIFM3,AIFM3,9
429,AIG1,AIG1,1
430,CRYBG1,CRYBG1,65
431,CRYBG2,CRYBG2,21
432,AIM2,AIM2,4
433,IKZF3,IKZF3,18
434,AIP,AIP,13
435,MAGI2,MAGI2,16
436,AIRE,AIRE,5
437,AJAP1,AJAP1,6
438,AJM1,AJM1,14
439,AK1,AK1,7
440,AK2,AK2,21
441,AK3,AK3,10
442,AK4,AK4,4
443,AK5,AK5,9
444,AK6,AK6,5
445,AK7,AK7,8
446,AK8,AK8,3
447,AKAP1,AKAP1,40
448,AKAP10,AKAP10,25
449,AKAP11,AKAP11,76
450,AKAP12,AKAP12,131
451,AKAP13,AKAP13,132
452,AKAP14,AKAP14,5
453,AKAP2,AKAP2,69
454,PALM2-AKAP2,PALM2-AKAP2,10
455,AKAP3,AKAP3,16
456,AKAP4,AKAP4,42
457,AKAP5,AKAP5,15
458,AKAP6,AKAP6,28
459,AKAP7,AKAP7,5
460,AKAP8,AKAP8,28
461,AKAP8L,AKAP8L,23
462,AKAP9,AKAP9,89
463,AK9,AK9,12
464,AURKAIP1,AURKAIP1,2
465,AKIRIN1,AKIRIN1,4
466,AKIRIN2,AKIRIN2,12
467,AKNA,AKNA,64
468,AKNAD1,AKNAD1,9
469,AKR1A1,AKR1A1,10
470,AKR1B1,AKR1B1,16
471,AKR1B10,AKR1B10,13
472,AKR1B15,AKR1B15,6
473,AKR1C1,AKR1C1,25
474,AKR1C2,AKR1C2,18
475,AKR1C3,AKR1C3,22
476,AKR1C4,AKR1C4,16
477,AKR1E2,AKR1E2,1
478,AKR1D1,AKR1D1,8
479,AKR7A2,AKR7A2,10
480,AKR7A3,AKR7A3,12
481,AKR7L,AKR7L,10
482,AKT1,AKT1,35
483,AKT2,AKT2,28
484,AKT3,AKT3,18
485,AKTIP,AKTIP,8
486,ACTL7A,ACTL7A,3
487,ALAD,ALAD,5
488,ALAS1,ALAS1,6
489,ALAS2,ALAS2,5
490,ALB,ALB,53
491,ALCAM,ALCAM,6
492,ALDH16A1,ALDH16A1,6
493,ALDH18A1,ALDH18A1,14
494,ALDH1A1,ALDH1A1,20
495,ALDH1A2,ALDH1A2,8
496,ALDH1A3,ALDH1A3,11
497,ALDH1B1,ALDH1B1,10
498,ALDH1L1,ALDH1L1,12
499,ALDH1L2,ALDH1L2,9
500,ALDH2,ALDH2,21
501,ALDH3A1,ALDH3A1,11
502,ALDH3A2,ALDH3A2,6
503,ALDH3B1,ALDH3B1,7
504,ALDH3B2,ALDH3B2,5
505,ALDH4A1,ALDH4A1,7
506,ALDH5A1,ALDH5A1,15
507,ALDH6A1,ALDH6A1,12
508,ALDH7A1,ALDH7A1,12
509,ALDH8A1,ALDH8A1,4
510,ALDH9A1,ALDH9A1,7
511,ALDOA,ALDOA,41
512,ALDOB,ALDOB,19
513,ALDOC,ALDOC,21
514,ALG1,ALG1,3
515,ALG10,ALG10,4
516,ALG11,ALG11,1
517,ALG12,ALG12,5
518,ALG13,ALG13,6
519,ALG14,ALG14,6
520,ALG1L,ALG1L,1
521,ALG1L2,ALG1L2,3
522,ALG2,ALG2,6
523,ALG3,ALG3,3
524,ALG5,ALG5,6
525,ALG6,ALG6,2
526,ALG8,ALG8,5
527,ALG9,ALG9,4
528,PDCD6IP,PDCD6IP,31
529,ALK,ALK,30
530,ACVRL1,ACVRL1,5
531,ACVR1,ACVR1,3
532,ACVR1B,ACVR1B,6
533,ALKBH1,ALKBH1,3
534,ALKBH2,ALKBH2,3
535,ALKBH3,ALKBH3,6
536,ALKBH4,ALKBH4,3
537,ALKBH5,ALKBH5,25
538,ALKBH6,ALKBH6,2
539,ALKBH8,ALKBH8,7
540,ALLC,ALLC,1
541,ALMS1,ALMS1,115
542,ALOX12,ALOX12,9
543,ALOX12B,ALOX12B,10
544,ALOX15,ALOX15,3
545,ALOX15B,ALOX15B,1
546,ALOX5AP,ALOX5AP,1
547,ALOXE3,ALOXE3,8
548,NAT10,NAT10,28
549,ALPK3,ALPK3,31
550,ALPK2,ALPK2,9
551,ALPK1,ALPK1,11
552,LSM14A,LSM14A,35
553,ALPI,ALPI,5
554,ALPL,ALPL,6
555,ALPP,ALPP,28
556,ALPG,ALPG,23
557,ALS2,ALS2,29
558,ALS2CL,ALS2CL,1
559,C2CD6,C2CD6,19
560,ALS2CR12,FLACC1,1
561,TMEM237,TMEM237,15
562,ALX3,ALX3,5
563,ALX4,ALX4,5
564,SLC35G5,SLC35G5,1
565,SLC35G6,SLC35G6,2
566,AMACR,AMACR,6
567,AMBN,AMBN,1
568,AMBP,AMBP,2
569,AMBRA1,AMBRA1,25
570,AMD1,AMD1,5
571,AMDHD1,AMDHD1,3
572,AMFR,AMFR,12
573,AMH,AMH,9
574,JAML,JAML,6
575,AMIGO1,AMIGO1,4
576,AMIGO2,AMIGO2,5
577,AMIGO3,AMIGO3,7
578,RUNX1,RUNX1,43
579,RUNX3,RUNX3,20
580,RUNX2,RUNX2,23
581,AMMECR1,AMMECR1,6
582,AMMECR1L,AMMECR1L,7
583,AMN,AMN,2
584,AMN1,AMN1,4
585,AMOT,AMOT,23
586,AMOTL1,AMOTL1,43
587,AMOTL2,AMOTL2,27
588,AMPD1,AMPD1,7
589,AMPD2,AMPD2,33
590,AMPD3,AMPD3,16
591,AMPH,AMPH,24
592,PRKAA1,PRKAA1,39
593,PRKAA2,PRKAA2,25
594,PRKAB1,PRKAB1,28
595,PRKAB2,PRKAB2,21
596,PRKAG1,PRKAG1,3
597,PRKAG2,PRKAG2,40
598,PRKAG3,PRKAG3,1
599,STAMBP,STAMBP,8
600,AMT,AMT,6
601,AMTN,AMTN,1
602,AMY1C,AMY1C,7
603,AMY2A,AMY2A,8
604,AMY2B,AMY2B,7
605,AMZ1,AMZ1,1
606,AMZ2,AMZ2,4
607,ANG,ANG,2
608,ANGEL1,ANGEL1,7
609,ANGEL2,ANGEL2,5
610,ANGPT1,ANGPT1,14
611,ANGPT2,ANGPT2,3
612,ANGPT4,ANGPT4,4
613,ANGPTL1,ANGPTL1,2
614,ANGPTL2,ANGPTL2,7
615,ANGPTL3,ANGPTL3,5
616,ANGPTL4,ANGPTL4,1
617,ANGPTL5,ANGPTL5,1
618,ANGPTL6,ANGPTL6,1
619,ANGPTL7,ANGPTL7,1
620,ANHX,ANHX,5
621,ANLN,ANLN,104
622,ANK1,ANK1,63
623,ANK2,ANK2,147
624,ANK3,ANK3,183
625,ANKAR,ANKAR,5
626,ANKDD1A,ANKDD1A,2
627,ANKDD1B,ANKDD1B,2
628,ANKEF1,ANKEF1,3
629,ANKFN1,ANKFN1,2
630,ANKFY1,ANKFY1,6
631,ANKH,ANKH,2
632,ANKHD1,ANKHD1,63
633,ANKIB1,ANKIB1,26
634,ANKK1,ANKK1,5
635,ANKLE2,ANKLE2,58
636,ANKMY1,ANKMY1,8
637,ANKMY2,ANKMY2,8
638,ANKRA2,ANKRA2,5
639,ANKRD1,ANKRD1,3
640,ANKRD10,ANKRD10,1
641,ANKRD11,ANKRD11,76
642,ANKRD12,ANKRD12,63
643,ANKRD13A,ANKRD13A,12
644,ANKRD13B,ANKRD13B,6
645,ANKRD13C,ANKRD13C,3
646,ANKRD13D,ANKRD13D,11
647,KANK1,KANK1,41
648,ANKRD16,ANKRD16,1
649,ANKRD17,ANKRD17,83
650,ANKRD18A,ANKRD18A,5
651,ANKRD18B,ANKRD18B,10
652,ANKRD19P,ANKRD19P,3
653,ANKRD2,ANKRD2,1
654,ANKRD20A1,ANKRD20A1,8
655,ANKRD20A2,ANKRD20A2,9
656,ANKRD20A3,ANKRD20A3,9
657,ANKRD20A4,ANKRD20A4,7
658,ANKRD20A8P,ANKRD20A8P,5
659,POTED,POTED,9
660,ANKRD22,ANKRD22,1
661,ANKRD24,ANKRD24,14
662,KANK2,KANK2,42
663,ANKRD26,ANKRD26,41
664,ANKRD27,ANKRD27,22
665,ANKRD28,ANKRD28,7
666,ANKRD29,ANKRD29,1
667,RIPK4,RIPK4,11
668,ANKRD30A,ANKRD30A,18
669,ANKRD30B,ANKRD30B,17
670,ANKRD31,ANKRD31,19
671,SLF1,SLF1,9
672,ANKRD33B,ANKRD33B,4
673,ANKRD34A,ANKRD34A,12
674,ANKRD34C,ANKRD34C,14
675,ANKRD35,ANKRD35,5
676,ANKRD36,ANKRD36,20
677,ANKRD36B,ANKRD36B,26
678,ANKRD36C,ANKRD36C,42
679,ANKRD39,ANKRD39,7
680,ANKRD40,ANKRD40,6
681,ANKLE1,ANKLE1,2
682,ANKRD42,ANKRD42,2
683,SOWAHA,SOWAHA,12
684,ANKRD44,ANKRD44,2
685,ANKRD45,ANKRD45,3
686,ANKRD46,ANKRD46,1
687,KANK3,KANK3,21
688,ANKRD49,ANKRD49,4
689,ANKRD50,ANKRD50,40
690,ANKRD52,ANKRD52,18
691,ANKRD53,ANKRD53,8
692,ANKRD54,ANKRD54,4
693,ANKRD55,ANKRD55,2
694,SOWAHB,SOWAHB,17
695,SOWAHC,SOWAHC,22
696,ANKRD6,ANKRD6,9
697,ANKRD60,ANKRD60,3
698,ANKRD62,ANKRD62,12
699,ANKRD63,ANKRD63,8
700,ANKRD66,ANKRD66,2
701,ANKRD7,ANKRD7,2
702,ANKRD9,ANKRD9,3
703,ANKS1A,ANKS1A,47
704,ANKS3,ANKS3,17
705,ANKS4B,ANKS4B,10
706,ANKS6,ANKS6,10
707,ANKUB1,ANKUB1,9
708,ANKZF1,ANKZF1,20
709,ANO1,ANO1,25
710,ANO10,ANO10,1
711,ANO2,ANO2,9
712,ANO3,ANO3,4
713,ANO4,ANO4,10
714,ANO5,ANO5,5
715,ANO6,ANO6,11
716,ANO7,ANO7,2
717,ANO8,ANO8,14
718,ANO9,ANO9,4
719,NPR3.00,NPR3.00,5
720,ANP32A,ANP32A,13
721,ANP32B,ANP32B,8
722,ANP32C,ANP32C,2
723,ANP32D,ANP32D,4
724,NPR1.00,NPR1.00,13
725,NPR2.00,NPR2.00,12
726,ANTXR1,ANTXR1,16
727,ANTXR2,ANTXR2,16
728,ANTXRL,ANTXRL,1
729,ZFAND4,ZFAND4,5
730,ANXA1,ANXA1,32
731,ANXA10,ANXA10,9
732,ANXA11,ANXA11,16
733,ANXA13,ANXA13,8
734,ANXA2,ANXA2,53
735,ANXA2P2,ANXA2P2,6
736,ANXA2R,ANXA2R,2
737,ANXA3,ANXA3,19
738,ANXA4,ANXA4,15
739,ANXA5,ANXA5,30
740,ANXA6,ANXA6,41
741,ANXA7,ANXA7,10
742,ANXA8,ANXA8,8
743,ANXA8L1,ANXA8L1,8
744,ANXA9,ANXA9,2
745,AOAH,AOAH,6
746,AOC2,AOC2,6
747,AOC3,AOC3,1
748,KDM1B,KDM1B,14
749,AOX1,AOX1,19
750,TFAP2A,TFAP2A,13
751,TFAP2B,TFAP2B,5
752,TFAP2D,TFAP2D,8
753,TFAP2E,TFAP2E,7
754,TFAP2C,TFAP2C,5
755,TFAP4,TFAP4,10
756,AP1AR,AP1AR,19
757,AP1B1,AP1B1,29
758,AP1G1,AP1G1,12
759,AP1G2,AP1G2,15
760,AP1M1,AP1M1,12
761,AP1M2,AP1M2,10
762,AP1S1,AP1S1,3
763,AP1S2,AP1S2,5
764,AP1S3,AP1S3,3
765,AP2A1,AP2A1,25
766,AP2A2,AP2A2,14
767,AP2B1,AP2B1,26
768,AP2M1,AP2M1,18
769,AP2S1,AP2S1,3
770,AP3B1,AP3B1,21
771,AP3B2,AP3B2,16
772,AP3D1,AP3D1,35
773,AP3M1,AP3M1,8
774,AP3M2,AP3M2,5
775,AP3S1,AP3S1,3
776,AP3S2,AP3S2,1
777,AP4B1,AP4B1,5
778,AP4E1,AP4E1,28
779,AP4M1,AP4M1,9
780,AP4S1,AP4S1,8
781,AP5B1,AP5B1,1
782,AP5S1,AP5S1,1
783,AP5Z1,AP5Z1,5
784,APAF1,APAF1,20
785,APBA1,APBA1,40
786,APBA2,APBA2,15
787,APBA3,APBA3,11
788,APBB2,APBB2,31
789,APBB3,APBB3,5
790,APC,APC,206
791,ANAPC1,ANAPC1,74
792,ANAPC10,ANAPC10,8
793,ANAPC13,ANAPC13,1
794,ANAPC16,ANAPC16,2
795,ANAPC2,ANAPC2,23
796,ANAPC4,ANAPC4,19
797,ANAPC5,ANAPC5,16
798,ANAPC7,ANAPC7,19
799,APCDD1,APCDD1,3
800,APCDD1L,APCDD1L,2
801,APC2,APC2,34
802,APCS,APCS,5
803,APEX1,APEX1,12
804,APEH,APEH,10
805,APEX2,APEX2,5
806,APH1A,APH1A,3
807,API5,API5,14
808,CENPS,CENPS,3
809,APLF,APLF,3
810,APLNR,APLNR,3
811,APLP1,APLP1,2
812,APLP2,APLP2,13
813,APMAP,APMAP,12
814,APOA1,APOA1,12
815,NAXE,NAXE,7
816,APOA2,APOA2,5
817,APOA4,APOA4,5
818,APOA5,APOA5,2
819,APOB,APOB,70
820,APOBR,APOBR,20
821,APOBEC1,APOBEC1,2
822,APOBEC2,APOBEC2,2
823,APOBEC3A,APOBEC3A,5
824,APOBEC3B,APOBEC3B,7
825,APOBEC3C,APOBEC3C,1
826,APOBEC3D,APOBEC3D,1
827,APOBEC3F,APOBEC3F,3
828,APOBEC3G,APOBEC3G,6
829,APOBEC3H,APOBEC3H,1
830,APOBEC4,APOBEC4,1
831,APOC2,APOC2,3
832,APOC3,APOC3,6
833,APOE,APOE,8
834,APOF,APOF,1
835,APOH,APOH,1
836,APOL1,APOL1,3
837,APOL2,APOL2,5
838,APOL3,APOL3,5
839,APOL4,APOL4,6
840,APOL5,APOL5,5
841,APOL6,APOL6,1
842,APOO,APOO,3
843,APOOL,APOOL,10
844,APP,APP,29
845,NAE1,NAE1,10
846,APPBP2,APPBP2,3
847,APPL1,APPL1,28
848,APPL2,APPL2,6
849,C3ORF35,C3ORF35,1
850,PDS5B,PDS5B,68
851,APRT,APRT,10
852,SH2B2,SH2B2,7
853,APTX,APTX,7
854,SHROOM2,SHROOM2,69
855,MIP,MIP,3
856,AQP1,AQP1,4
857,AQP2,AQP2,4
858,AQP4,AQP4,8
859,AQP5,AQP5,4
860,AQP6,AQP6,2
861,AQP7,AQP7,3
862,AQP8,AQP8,1
863,AQP9,AQP9,2
864,AQR,AQR,16
865,AR,AR,32
866,ARAF,ARAF,56
867,ARAP,ARAP,14
868,ARAP3,ARAP3,36
869,NOL3,NOL3,10
870,ARCN1,ARCN1,21
871,AREG,AREG,3
872,AREL1,AREL1,16
873,ARFGAP3,ARFGAP3,45
874,ARFGAP1,ARFGAP1,42
875,ARF1,ARF1,7
876,ARF3,ARF3,7
877,ARF4,ARF4,7
878,ARF5,ARF5,9
879,ARF6,ARF6,5
880,ARFIP1,ARFIP1,23
881,ARFIP2,ARFIP2,10
882,ARFGEF1,ARFGEF1,47
883,ARFGEF2,ARFGEF2,52
884,ARFGEF3,ARFGEF3,57
885,ARFRP1,ARFRP1,2
886,ABL2,ABL2,71
887,ARG1,ARG1,14
888,ARG2,ARG2,5
889,ARC,ARC,1
890,SORBS2,SORBS2,240
891,ARGFX,ARGFX,1
892,ARGLU1,ARGLU1,12
893,ARHGAP1,ARHGAP1,22
894,ARHGAP10,ARHGAP10,10
895,ARHGAP11A,ARHGAP11A,62
896,ARHGAP12,ARHGAP12,41
897,SRGAP1,SRGAP1,43
898,SRGAP3,SRGAP3,38
899,ARHGAP15,ARHGAP15,24
900,ARHGAP17,ARHGAP17,45
901,ARHGAP18,ARHGAP18,15
902,ARHGAP19,ARHGAP19,18
903,CHN1,CHN1,18
904,ARHGAP20,ARHGAP20,13
905,ARHGAP21,ARHGAP21,125
906,ARHGAP22,ARHGAP22,19
907,ARHGAP23,ARHGAP23,67
908,ARHGAP24,ARHGAP24,20
909,ARHGAP25,ARHGAP25,27
910,ARHGAP26,ARHGAP26,15
911,ARHGAP27,ARHGAP27,22
912,ARHGAP28,ARHGAP28,19
913,ARHGAP29,ARHGAP29,54
914,CHN2,CHN2,10
915,ARHGAP30,ARHGAP30,37
916,ARHGAP32,ARHGAP32,109
917,ARHGAP36,ARHGAP36,7
918,ARHGAP39,ARHGAP39,48
919,ARHGAP4,ARHGAP4,32
920,ARHGAP40,ARHGAP40,4
921,ARHGAP42,ARHGAP42,25
922,ARHGAP5,ARHGAP5,38
923,ARHGAP6,ARHGAP6,28
924,ARHGAP8,ARHGAP8,12
925,ARHGAP9,ARHGAP9,25
926,ARHGEF1,ARHGEF1,29
927,ARHGEF10,ARHGEF10,30
928,ARHGEF10L,ARHGEF10L,23
929,ARHGEF11,ARHGEF11,69
930,ARHGEF12,ARHGEF12,69
931,MCF2L,MCF2L,28
932,ARHGEF16,ARHGEF16,26
933,ARHGEF17,ARHGEF17,84
934,ARHGEF18,ARHGEF18,44
935,ARHGEF19,ARHGEF19,12
936,ARHGEF2,ARHGEF2,74
937,ARHGEF3,ARHGEF3,8
938,ARHGEF33,ARHGEF33,13
939,ARHGEF35,ARHGEF35,17
940,ARHGEF37,ARHGEF37,16
941,ARHGEF38,ARHGEF38,12
942,ARHGEF39,ARHGEF39,2
943,ARHGEF4,ARHGEF4,28
944,ARHGEF5,ARHGEF5,77
945,ARHGEF6,ARHGEF6,40
946,ARHGEF7,ARHGEF7,51
947,ARHGEF9,ARHGEF9,3
948,ARID1A,ARID1A,84
949,ARID1B,ARID1B,50
950,ARID2,ARID2,32
951,ARID3B,ARID3B,14
952,ARID3C,ARID3C,1
953,ARID4B,ARID4B,58
954,ARID5A,ARID5A,23
955,ARIH1,ARIH1,6
956,ARIH2,ARIH2,8
957,ARIH2OS,ARIH2OS,5
958,ARL1.00,ARL1.00,2
959,ARL11.00,ARL11.00,3
960,ARL13A,ARL13A,1
961,ARL13B,ARL13B,10
962,ARL14.00,ARL14.00,1
963,ARL14EP,ARL14EP,4
964,ARL15.00,ARL15.00,2
965,ARL17B,ARL17B,4
966,ARL2.00,ARL2.00,3
967,ARL2BP,ARL2BP,5
968,ARL3.00,ARL3.00,8
969,ARL4A,ARL4A,1
970,ARL4C,ARL4C,1
971,ARL4D,ARL4D,2
972,ARL5A,ARL5A,1
973,ARL5C,ARL5C,2
974,ARL6.00,ARL6.00,1
975,ATL2,ATL2,13
976,ARL6IP4,ARL6IP4,51
977,ARL6IP5,ARL6IP5,3
978,ARL6IP6,ARL6IP6,14
979,ARL8B,ARL8B,2
980,ARL9.00,ARL9.00,1
981,ARMC1,ARMC1,11
982,ARMC10,ARMC10,14
983,ARMC12,ARMC12,5
984,ARMC2,ARMC2,9
985,ARMC3,ARMC3,9
986,ARMC4,ARMC4,3
987,ARMC5,ARMC5,6
988,ARMC6,ARMC6,12
989,ARMC7,ARMC7,1
990,ARMC8,ARMC8,9
991,ARMC9,ARMC9,10
992,ARMCX1,ARMCX1,4
993,ARMCX2,ARMCX2,17
994,ARMCX3,ARMCX3,11
995,ARMCX4,ARMCX4,7
996,ARMCX5,ARMCX5,6
997,ARMCX6,ARMCX6,1
998,MANF,MANF,8
999,CDNF,CDNF,1
1000,ARMT1,ARMT1,9
1001,ARNT,ARNT,15
1002,ARNT2,ARNT2,3
1003,ARNTL2,ARNTL2,8
1004,ACTR2,ACTR2,16
1005,ACTR3,ACTR3,22
1006,ARPC1A,ARPC1A,4
1007,ARPC1B,ARPC1B,17
1008,ARPC2,ARPC2,10
1009,ARPC3,ARPC3,4
1010,ARPC4,ARPC4,5
1011,ARPC5,ARPC5,5
1012,ARPC5L,ARPC5L,3
1013,ARPIN,ARPIN,7
1014,ARPP19,ARPP19,14
1015,ARPP21,ARPP21,27
1016,ARRB1,ARRB1,11
1017,ARRB2,ARRB2,8
1018,ARRDC1,ARRDC1,6
1019,ARRDC2,ARRDC2,8
1020,ARRDC3,ARRDC3,4
1021,ARRDC4,ARRDC4,6
1022,ARRDC5,ARRDC5,3
1023,ARSB,ARSB,9
1024,ARSD,ARSD,3
1025,ARSE,ARSE,3
1026,ARSF,ARSF,2
1027,ARSG,ARSG,5
1028,ARSH,ARSH,1
1029,ARSI,ARSI,5
1030,ARSJ,ARSJ,2
1031,ARSK,ARSK,3
1032,ART3,ART3,6
1033,ART4,ART4,2
1034,ART5,ART5,1
1035,DCLRE1C,DCLRE1C,26
1036,ERAP1,ERAP1,11
1037,ARV1,ARV1,1
1038,ARVCF,ARVCF,37
1039,ARX,ARX,5
1040,TBC1D4,TBC1D4,71
1041,AS3MT,AS3MT,6
1042,ASAH1,ASAH1,12
1043,ASAH2,ASAH2,7
1044,ASAH2B,ASAH2B,2
1045,CLMP,CLMP,14
1046,ASB1,ASB1,1
1047,ASB10,ASB10,1
1048,ASB11,ASB11,4
1049,ASB12,ASB12,6
1050,ASB14,ASB14,3
1051,ASB15,ASB15,2
1052,ASB16,ASB16,3
1053,ASB16-AS1,ASB16-AS1,1
1054,ASB17,ASB17,1
1055,ASB18,ASB18,2
1056,ASB2,ASB2,4
1057,ASB3,ASB3,6
1058,ASB4,ASB4,5
1059,ASB6,ASB6,3
1060,ASB7,ASB7,4
1061,ASB8,ASB8,3
1062,ASB9,ASB9,5
1063,SLC10A2,SLC10A2,2
1064,ASCC1,ASCC1,6
1065,ASCC2,ASCC2,17
1066,ASCC3,ASCC3,36
1067,ASCL2,ASCL2,5
1068,ASCL3,ASCL3,5
1069,CD3EAP,CD3EAP,24
1070,ASF1A,ASF1A,8
1071,ASF1B,ASF1B,5
1072,ASGR2,ASGR2,1
1073,ASGR1,ASGR1,4
1074,ASH1L,ASH1L,79
1075,ASH2L,ASH2L,14
1076,ASIC1,ASIC1,7
1077,ASIC2,ASIC2,3
1078,ASIC3,ASIC3,7
1079,ASIC4,ASIC4,7
1080,ASIC5,ASIC5,2
1081,ASIP,ASIP,4
1082,MAP3K5,MAP3K5,29
1083,ASL,ASL,6
1084,ASMTL,ASMTL,20
1085,ASNA1,ASNA1,2
1086,ASNS,ASNS,10
1087,ASNSD1,ASNSD1,8
1088,ASPA,ASPA,3
1089,ASPDH,ASPDH,3
1090,ASPH,ASPH,29
1091,ASPHD1,ASPHD1,2
1092,ASPHD2,ASPHD2,3
1093,ASPM,ASPM,125
1094,ASPN,ASPN,5
1095,ASPRV1,ASPRV1,5
1096,ASPSCR1,ASPSCR1,13
1097,ASRGL1,ASRGL1,3
1098,ASS1,ASS1,21
1099,ASTE1,ASTE1,2
1100,ASTL,ASTL,4
1101,ASTN1,ASTN1,4
