,Genes,Norm_Symbol,Phosphosite_hu_no
3319,RSL1D1,RSL1D1,44
3320,CSK,CSK,15
3321,CSMD1,CSMD1,9
3322,CSMD2,CSMD2,17
3323,CSMD3,CSMD3,16
3324,CSN1S1,CSN1S1,8
3325,CSN2,CSN2,6
3326,CSNK2A3,CSNK2A3,12
3327,VCAN,VCAN,25
3328,NCAN,NCAN,2
3329,CSPG5,CSPG5,3
3330,CSPP1,CSPP1,31
3331,SCARA3,SCARA3,3
3332,CSRP1,CSRP1,18
3333,CSRP2,CSRP2,7
3334,KAT14,KAT14,18
3335,CSRP3,CSRP3,10
3336,CHSY3,CHSY3,5
3337,CST11,CST11,1
3338,CST3,CST3,1
3339,CST4,CST4,8
3340,CST6,CST6,1
3341,CST7,CST7,5
3342,CST9L,CST9L,3
3343,CSTB,CSTB,9
3344,CSTF2T,CSTF2T,20
3345,CSTF3,CSTF3,18
3346,CSTF1,CSTF1,5
3347,CSTF2,CSTF2,18
3348,CT45A1,CT45A1,5
3349,CT45A2,CT45A2,2
3350,CT45A10,CT45A10,1
3351,CT45A3,CT45A3,7
3352,CT45A5,CT45A5,2
3353,CT45A6,CT45A6,1
3354,CT45A7,CT45A7,1
3355,CT45A8,CT45A8,1
3356,CT45A9,CT45A9,1
3357,CT55,CT55,1
3358,CT62,CT62,4
3359,CTAG1B,CTAG1B,2
3360,CTAG2,CTAG2,3
3361,CTAGE1,CTAGE1,17
3362,CTAGE15,CTAGE15,10
3363,CTAGE4,CTAGE4,14
3364,MIA2,MIA2,57
3365,CTAGE6,CTAGE6,18
3366,CTAGE8,CTAGE8,13
3367,CTAGE9,CTAGE9,12
3368,CTBP1,CTBP1,7
3369,CTBP2,CTBP2,16
3370,CTBS,CTBS,3
3371,CTC1,CTC1,6
3372,CTCF,CTCF,33
3373,CTDP1,CTDP1,34
3374,CTDSP1,CTDSP1,6
3375,CTDSP2,CTDSP2,1
3376,CTDSPL,CTDSPL,8
3377,CTDSPL2,CTDSPL2,26
3378,CTF1,CTF1,1
3379,CHTF18,CHTF18,23
3380,CTGF,CCN2,8
3381,AGAP6,AGAP6,7
3382,AGAP7P,AGAP7P,10
3383,AGAP9,AGAP9,3
3384,CTH,CTH,3
3385,CTHRC1,CTHRC1,1
3386,CTIF,CTIF,11
3387,RBBP8,RBBP8,39
