Genes,PhosNo,Norm_Symbol
TNFRSF10A,9,TNFRSF10A
NFKBIE,7,NFKBIE
GRM8,3,GRM8
PSMD11,18,PSMD11
PSMD12,7,PSMD12
PSMD9,3,PSMD9
BMPR1B,2,BMPR1B
ATOX1,4,ATOX1
F2RL2,1,F2RL2
MEN1,6,MEN1
CBX4,20,CBX4
WRB,3,WRB
PGRMC1,9,PGRMC1
SUPT5H,43,SUPT5H
TAF4,18,TAF4
DFFA,17,DFFA
RFXAP,6,RFXAP
HIP1,10,HIP1
LEFTY2,2,LEFTY2
TULP1,6,TULP1
TULP2,3,TULP2
CLIC1,15,CLIC1
TNFRSF11B,1,TNFRSF11B
EIF3F,9,EIF3F
CACNB4,14,CACNB4
WWP2,12,WWP2
CDC7,15,CDC7
ETV2,1,ETV2
ARNTL,7,ARNTL
PIK3CD,12,PIK3CD
PDHX,7,PDHX
SLC28A1,5,SLC28A1
SULT1C2,1,SULT1C2
MATN2,4,MATN2
FOXE1,4,FOXE1
QSOX1,5,QSOX1
P2RY10,3,P2RY10
DCTN6,2,DCTN6
SLC33A1,3,SLC33A1
WASL,14,WASL
PDE2A,1,PDE2A
FOXN3,25,FOXN3
IPO5,13,IPO5
POLRMT,2,POLRMT
EEF2K,44,EEF2K
CCRL2,3,CCRL2
SAP18,3,SAP18
EML1,18,EML1
IGF2BP3,16,IGF2BP3
DNM1L,35,DNM1L
RTCA,4,RTCA
PIK3C2A,31,PIK3C2A
PLK4,25,PLK4
SYT5,1,SYT5
GFRA2,1,GFRA2
LST1,4,LST1
IFRD1,8,IFRD1
PIK3R2,17,PIK3R2
GOLIM4,12,GOLIM4
MANBA,2,MANBA
AGRN,5,AGRN
PLOD2,9,PLOD2
MEIS1,7,MEIS1
EXOC5,9,EXOC5
ELL2,18,ELL2
SLC17A3,1,SLC17A3
BTN3A3,2,BTN3A3
HMGN4,6,HMGN4
NDUFA4,2,NDUFA4
PSMD14,6,PSMD14
ZNF593,7,ZNF593
BIN1,25,BIN1
CLDN5,1,CLDN5
KPNA3,10,KPNA3
STK25,10,STK25
USP9Y,19,USP9Y
BCL9,66,BCL9
LAD1,75,LAD1
FAAH,2,FAAH
KRIT1,9,KRIT1
UPK2,4,UPK2
CHL1,9,CHL1
VWA5A,9,VWA5A
PES1.00,11,PES1.00
DLL1,3,DLL1
CACNA1A,34,CACNA1A
EBAG9,7,EBAG9
SDCBP,15,SDCBP
PITPNM1,26,PITPNM1
MPHOSPH10,24,MPHOSPH10
NOP56,38,NOP56
SOX1,1,SOX1
DDX3X,60,DDX3X
RNASET2,6,RNASET2
MFNG,1,MFNG
ACKR2,1,ACKR2
PODXL,8,PODXL
CYR61,7,CYR61
PEX12,1,PEX12
PIR,3,PIR
KPNA4,5,KPNA4
NTN3,1,NTN3
TRIM38,6,TRIM38
NFIB,48,NFIB
E2F3,6,E2F3
PPP6C,4,PPP6C
NME4,4,NME4
PIK3C2B,17,PIK3C2B
MAN2B1,3,MAN2B1
FBP2,8,FBP2
UBE2C,3,UBE2C
ACACB,23,ACACB
PDXK,8,PDXK
SCD,7,SCD
DLGAP1,31,DLGAP1
SH2B2,13,SH2B2
CLDN4,6,CLDN4
PLPP1,8,PLPP1
PLPP3,2,PLPP3
ARID1A,82,ARID1A
BHLHE40,8,BHLHE40
SOCS2,1,SOCS2
NRG2,12,NRG2
SOCS7,5,SOCS7
NCKAP5,28,NCKAP5
ADGRB1,10,ADGRB1
CDK2AP1,4,CDK2AP1
AQP7,5,AQP7
PTPRT,9,PTPRT
C2CD2L,44,C2CD2L
NEMP1,3,NEMP1
ASTN1,11,ASTN1
FCHO1,23,FCHO1
CUX2,18,CUX2
TXNDC9,7,TXNDC9
DPYSL4,5,DPYSL4
SOCS6,15,SOCS6
TRAFD1,27,TRAFD1
COX7A2L,1,COX7A2L
GAPDHS,2,GAPDHS
HSPB6,3,HSPB6
ARHGAP33,10,ARHGAP33
NDUFAB1,2,NDUFAB1
UBFD1,3,UBFD1
CYB561D2,1,CYB561D2
DYNC1I1,11,DYNC1I1
CIT,52,CIT
COPE,10,COPE
OR7A17,1,OR7A17
RFXANK,1,RFXANK
NCAN,5,NCAN
CTDSP2,9,CTDSP2
VCY,7,VCY
EIF1AY,4,EIF1AY
TMSB4Y,1,TMSB4Y
UTY,9,UTY
CDC42EP2,11,CDC42EP2
AP3D1,33,AP3D1
CCS,2,CCS
CDX4,1,CDX4
ZNF195,8,ZNF195
LCE2B,1,LCE2B
ENPP3,3,ENPP3
ABLIM1,77,ABLIM1
DVL1,17,DVL1
DVL2,38,DVL2
DNALI1,1,DNALI1
CHD1,80,CHD1
CHD2,64,CHD2
KCNK3,5,KCNK3
GOSR2,2,GOSR2
IRS4,58,IRS4
TOR1A,2,TOR1A
TOR1B,1,TOR1B
STX16,13,STX16
PRRG1,5,PRRG1
ADAM10,3,ADAM10
ABCD4,4,ABCD4
EI24,13,EI24
ENC1,6,ENC1
TP53I11,3,TP53I11
PTGES,2,PTGES
KMT2D,170,KMT2D
ZNF197,3,ZNF197
ITGB1BP1,16,ITGB1BP1
RGPD8,94,RGPD8
TRDMT1,3,TRDMT1
APAF1,18,APAF1
RIOK3,13,RIOK3
IMPA2,3,IMPA2
MAP2K7,26,MAP2K7
ACOT8,5,ACOT8
PDCD5,11,PDCD5
PRMT5,4,PRMT5
SLC9A3R1,23,SLC9A3R1
TERT,7,TERT
OVOL1,3,OVOL1
HSD17B6,3,HSD17B6
CHEK1,20,CHEK1
TNFRSF10B,1,TNFRSF10B
GABRD,6,GABRD
MEIS2,3,MEIS2
ZNF213,2,ZNF213
GNB5,1,GNB5
TCERG1,14,TCERG1
NDC80,22,NDC80
KIF3C,20,KIF3C
NRP1,9,NRP1
TNPO2,9,TNPO2
APOL1,5,APOL1
HS3ST1,1,HS3ST1
MSTN,1,MSTN
UNC13B,17,UNC13B
POLR3A,7,POLR3A
TAAR5,4,TAAR5
PHOX2A,7,PHOX2A
CAPN9,1,CAPN9
PSMA7,14,PSMA7
RASGRF2,24,RASGRF2
SCAMP3,17,SCAMP3
PPEF1,4,PPEF1
PPEF2,2,PPEF2
TNFRSF13B,1,TNFRSF13B
OPLAH,12,OPLAH
FFAR3,2,FFAR3
AIM2,3,AIM2
SLC30A4,4,SLC30A4
BACH1,13,BACH1
BCKDK,10,BCKDK
IFIT3,8,IFIT3
MGST3,2,MGST3
GEMIN2,8,GEMIN2
IRF6,9,IRF6
KLF11,6,KLF11
WNT9A,2,WNT9A
WNT9B,2,WNT9B
TAX1BP3,6,TAX1BP3
GIPC1,11,GIPC1
LIN7A,3,LIN7A
PCDH17,18,PCDH17
IKBKB,21,IKBKB
RGS12,49,RGS12
FSCN2,1,FSCN2
HAT1,8,HAT1
UBE2L6,1,UBE2L6
CASK,44,CASK
PLD2,19,PLD2
TFEC,2,TFEC
UQCRQ,1,UQCRQ
MYL12B,11,MYL12B
CASQ2,7,CASQ2
LECT2,1,LECT2
HGS,16,HGS
AURKA,14,AURKA
RAB29,2,RAB29
CLGN,10,CLGN
PPP1R12A,88,PPP1R12A
SLC27A2,6,SLC27A2
GAK,32,GAK
ZNF263,10,ZNF263
HNRNPDL,16,HNRNPDL
XPO1,17,XPO1
BTAF1,19,BTAF1
ATP2A1,26,ATP2A1
PIP5K1B,3,PIP5K1B
PPP1R2C,3,PPP1R2C
SYN3,20,SYN3
ARHGEF10,36,ARHGEF10
ZNF609,95,ZNF609
ZNF646,32,ZNF646
TRIM66,5,TRIM66
PDZD2,90,PDZD2
SPTBN2,31,SPTBN2
MAST4,95,MAST4
SEC16A,133,SEC16A
PLXNB2,13,PLXNB2
AREL1,6,AREL1
RIMBP2,11,RIMBP2
KHNYN,16,KHNYN
TECPR2,11,TECPR2
SEMA3E,4,SEMA3E
U2SURP,68,U2SURP
SETD1A,76,SETD1A
N4BP3,16,N4BP3
TRANK1,13,TRANK1
KDM6B,16,KDM6B
PER2,20,PER2
SYNJ2,25,SYNJ2
SYNM,62,SYNM
ZBTB5,15,ZBTB5
KIAA0355,25,KIAA0355
KIF3B,18,KIF3B
PFAS,13,PFAS
MCF2L,24,MCF2L
NACAD,18,NACAD
ADAMTS3,8,ADAMTS3
DCLK1,45,DCLK1
CEP290,34,CEP290
SNPH,11,SNPH
ERC2,17,ERC2
ANKRD28,9,ANKRD28
ARHGEF11,76,ARHGEF11
ZNF536,9,ZNF536
KIAA0391,12,KIAA0391
CHUK,8,CHUK
LSM1.00,2,LSM1.00
FYB1,39,FYB1
NPC1,3,NPC1
TBX3,27,TBX3
AGPAT2,1,AGPAT2
