Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
LIPA,67579366.59948345,137331047.50801614,8018107.054938155,21483591.570021536,446406670.3049318,272858663.5843215,21483591.570021536,LIPA
LIPE,39398051.81220529,372230221.032945,184940200.19061396,76003623.1815783,254810294.97259575,162281907.73819277,165982179.24078912,LIPE
LLGL1,1409562653.0269678,2091071545.7356894,636233802.0029997,979421532.6921287,2037854375.416491,1132436472.2753568,468128699.8513589,LLGL1
LMAN1,22294247.07149858,42913358.79973009,79300000.65412758,31967901.794952463,31967901.794952463,31967901.794952463,31967901.794952463,LMAN1
LMAN2,83419431.57282946,69797361.4183354,56120919.83464129,45614356.3448906,45614356.3448906,45614356.3448906,45614356.3448906,LMAN2
LMBRD2,17859235.289712798,55993963.09202855,70371081.29810685,23062432.51086095,23062432.51086095,23062432.51086095,23062432.51086095,LMBRD2
LMCD1,10209303.696966218,10209303.696966218,10209303.696966218,11013425.779728472,11013425.779728472,11013425.779728472,11013425.779728472,LMCD1
LMNA,3184053241.1819873,5892096913.142495,3462771070.7004104,2734522590.947713,5472037694.636872,4557117957.424327,3568548779.2755523,LMNA
LMNB1,519806112.98196834,114733643.65084304,82022224.52251624,156641554.82858703,199798096.29988277,46297097.618932895,46297097.618932895,LMNB1
LMNB2,1749216852.2128773,1663309444.8403118,1502177159.2344332,1479272138.6202602,1808619048.7142024,1456312076.4190907,1668164420.14088,LMNB2
LMO7,110312165.44739594,209031656.2121731,218958324.93756148,442716853.63480633,250869034.16363707,320983189.96370816,243530041.06819236,LMO7
LMTK2,10016964.602813823,10016964.602813823,10016964.602813823,11462473.32745818,11462473.32745818,11462473.32745818,11462473.32745818,LMTK2
LMTK3,17005177.23541949,9503328.27219729,9503328.27219729,14211471.910402393,14211471.910402393,14211471.910402393,14211471.910402393,LMTK3
LNPEP,143122430.50154552,112836421.27539489,148248715.46211618,37124727.48608108,37124727.48608108,37124727.48608108,37124727.48608108,LNPEP
LONP1,4743274293.963689,4544083151.859514,4867387429.9165535,3671806204.0018735,3550454808.0144634,4078266905.2332635,4103333571.3197365,LONP1
LPCAT1,284949673.96689063,77018337.74690117,88690653.00482495,46571703.82717831,46571703.82717831,46571703.82717831,46571703.82717831,LPCAT1
LPCAT3,27547908.02347048,8658725.517872617,84407088.83618093,7782464433.54072,17345699.07566981,17345699.07566981,17345699.07566981,LPCAT3
LPCAT4,340564827.83030105,649432139.1169492,575008524.2987376,342015428.534821,269364097.86564195,324170466.8109552,324530800.0363045,LPCAT4
LPGAT1,8790538.654758021,8790538.654758021,90767496.95247072,52465505.91032422,18274525.328578386,18274525.328578386,119464639.06136473,LPGAT1
LPHN1,807824824.0690973,492062298.225686,571035151.1659247,749799555.2843015,614657033.0707384,673580339.5537244,712890546.0760456,LPHN1
LPHN2,10262137.505449513,10262137.505449513,10262137.505449513,9798997.029174112,9798997.029174112,9798997.029174112,9798997.029174112,LPHN2
LPHN3,455304660.6355712,292305940.05314577,403599533.3267303,426651496.1272221,415339836.68650496,410049222.91423887,430992012.86597335,LPHN3
