,Node1,Node2
744,SHANK3,ANK3
745,SHANK3,ANKS1B
746,SHANK3,ARF3
747,SHANK3,BAIAP2
748,SHANK3,BASP1
749,SHANK3,CAMK2A
750,SHANK3,CAMK2B
751,SHANK3,CAMK2D
752,SHANK3,CAMK2G
753,SHANK3,CAPZA2
754,SHANK3,CASKIN1
755,SHANK3,CIT
756,SHANK3,CKAP5
757,SHANK3,CNTN1
758,SHANK3,CNTNAP1
759,SHANK3,CTTNBP2
760,SHANK3,CUL3
761,SHANK3,CYFIP1
762,SHANK3,CYFIP2
763,SHANK3,CYLD
764,SHANK3,DCLK1
765,SHANK3,DCTN1
766,SHANK3,DLG1
767,SHANK3,DLG2
768,SHANK3,DLG4
769,SHANK3,DLGAP1
770,SHANK3,DLGAP2
771,SHANK3,DLGAP3
772,SHANK3,DLGAP4
773,SHANK3,DNM1
774,SHANK3,DRG2
775,SHANK3,DYNC1H1
776,SHANK3,EPB41L3
777,SHANK3,ERC2
778,SHANK3,FBXO41
779,SHANK3,GLUL
780,SHANK3,GNB1
781,SHANK3,GRIN1
782,SHANK3,GRIN2A
783,SHANK3,GRIN2B
784,SHANK3,GRM3
785,SHANK3,GSK3B
786,SHANK3,HCN1
787,SHANK3,HCN2
788,SHANK3,HOMER1
789,SHANK3,HOMER2
790,SHANK3,HOMER3
791,SHANK3,INA
792,SHANK3,IQSEC1
793,SHANK3,IQSEC2
794,SHANK3,ITIH1
795,SHANK3,KALRN
796,SHANK3,KIF5C
797,SHANK3,LRRC7
798,SHANK3,MACF1
799,SHANK3,MAP3K5
800,SHANK3,MPP2
801,SHANK3,MYO5A
802,SHANK3,NCAN
803,SHANK3,NCDN
804,SHANK3,NCKAP1
805,SHANK3,NEFL
806,SHANK3,NEFM
807,SHANK3,NFASC
808,SHANK3,PLCB1
809,SHANK3,PPIA
810,SHANK3,PPP1CC
811,SHANK3,PPP1R7
812,SHANK3,PPP1R9A
813,SHANK3,PPP3CA
814,SHANK3,PPP6R1
815,SHANK3,PRKCA
816,SHANK3,PRKCB
817,SHANK3,PRKCE
818,SHANK3,PRKCG
819,SHANK3,RAC1
820,SHANK3,RAPGEF2
821,SHANK3,RAPGEF4
822,SHANK3,ROCK2
823,SHANK3,RPS6KA2
824,SHANK3,SEPT3
825,SHANK3,SEPT7
826,SHANK3,SHANK1
827,SHANK3,SHANK2
828,SHANK3,SIRPA
829,SHANK3,SLK
830,SHANK3,SNAP91
831,SHANK3,SPNA2
832,SHANK3,SPNB4
833,SHANK3,SPTBN1
834,SHANK3,SPTBN2
835,SHANK3,SYNGAP1
836,SHANK3,SYNPO
837,SHANK3,TAOK2
838,SHANK3,TLN2
839,SHANK3,TNIK
840,SHANK3,TNR
841,SHANK3,TPPP
842,SHANK3,UBA1
843,SHANK3,WASF1
844,SHANK3,YWHAB
845,SHANK3,YWHAE
846,SHANK3,YWHAG
847,SHANK3,YWHAZ
848,SHANK3,ABI2
849,SHANK3,ANKRD28
850,SHANK3,BAIAP2
851,SHANK3,CAMK2B
852,SHANK3,CYFIP2
853,SHANK3,DBN1
854,SHANK3,DCLK1
855,SHANK3,EPB41L1
856,SHANK3,FAM171A2
857,SHANK3,FXR1
858,SHANK3,GSK3B
859,SHANK3,HECW1
860,SHANK3,HOMER1
861,SHANK3,HOMER2
862,SHANK3,HOMER3
863,SHANK3,IGF2R
864,SHANK3,INA
865,SHANK3,KIF15
866,SHANK3,KIF3B
867,SHANK3,KIF7
868,SHANK3,LMTK3
869,SHANK3,LRRC7
870,SHANK3,MAP4K4
871,SHANK3,MDK
872,SHANK3,NES
873,SHANK3,NF1
874,SHANK3,PDE4DIP
875,SHANK3,PFN2
876,SHANK3,PIP4K2C
877,SHANK3,PPP1R9A
878,SHANK3,PPP6C
879,SHANK3,PPP6R1
880,SHANK3,PPP6R2
881,SHANK3,SH3BP5
882,SHANK3,SH3PXD2B
883,SHANK3,SHANK1
884,SHANK3,SHANK2
885,SHANK3,SLC7A3
886,SHANK3,SOGA3
887,SHANK3,SPATA13
888,SHANK3,SPATA20
889,SHANK3,TNIK
890,SHANK3,TRIM28
891,SHANK3,WASF1
892,SHANK3,WASF2
893,SHANK3,WBP11
894,SHANK3,ZFP263
895,SHANK3,ZNF318
896,SHANK3,ABI1
897,SHANK3,AGAP2
898,SHANK3,ANK2
899,SHANK3,ANK3
900,SHANK3,ANKS1B
901,SHANK3,ARF3
902,SHANK3,BAIAP2
903,SHANK3,BASP1
904,SHANK3,CAMK2A
905,SHANK3,CAMK2B
906,SHANK3,CAMK2D
907,SHANK3,CAMK2G
908,SHANK3,CASKIN1
909,SHANK3,CIT
910,SHANK3,CNTN1
911,SHANK3,CNTNAP1
912,SHANK3,CSNK2A1
913,SHANK3,CTTNBP2
914,SHANK3,CYFIP2
915,SHANK3,DCLK1
916,SHANK3,DLG1
917,SHANK3,DLG2
918,SHANK3,DLG4
919,SHANK3,DLGAP1
920,SHANK3,DLGAP2
921,SHANK3,DLGAP3
922,SHANK3,DLGAP4
923,SHANK3,DNM1
924,SHANK3,DYNC1H1
925,SHANK3,EPB41L1
