Parent	Child	EdgeType
synapse	RPS6KB1	Gene-Term
postsynapse	EIF4E	Gene-Term
integral component of synaptic vesicle membrane	TMEM163	Gene-Term
synapse	TUFM	Gene-Term
synapse	EIF5A	Gene-Term
synapse	EEF1D	Gene-Term
synapse	EIF3B	Gene-Term
synapse	EEF2	Gene-Term
synapse	EIF2S1	Gene-Term
synapse	RPLP2	Gene-Term
synapse	RPSA	Gene-Term
synapse	RPS3A	Gene-Term
synapse	RPL29	Gene-Term
synapse	RPL17	Gene-Term
synapse	RPL5	Gene-Term
synapse	RPL6	Gene-Term
synapse	UBA52	Gene-Term
synapse	RPL37	Gene-Term
synapse	RPS15	Gene-Term
synapse	RPS7	Gene-Term
synapse	RPL3	Gene-Term
synapse	RPS13	Gene-Term
synapse	RPS18	Gene-Term
synapse	RPS3	Gene-Term
synapse	RPL18A	Gene-Term
synapse	RPLP0	Gene-Term
synapse	RPL18	Gene-Term
synapse	RPL19	Gene-Term
synapse	RPL11	Gene-Term
synapse	RPS4X	Gene-Term
synapse	RPS21	Gene-Term
synapse	RPS19	Gene-Term
synapse	RPL24	Gene-Term
synapse	RPL8	Gene-Term
synapse	RPS2	Gene-Term
synapse	RPS25	Gene-Term
synapse	RPL7	Gene-Term
synapse	RPL7A	Gene-Term
synapse	RPL36	Gene-Term
synapse	RPL10	Gene-Term
synapse	RPL10A	Gene-Term
synapse	RPL31	Gene-Term
synapse	RPL38	Gene-Term
synapse	RPL9	Gene-Term
synapse	RPS17	Gene-Term
synapse	RPS20	Gene-Term
synapse	RPS9	Gene-Term
integral component of synaptic vesicle membrane	SLC17A6	Gene-Term
perisynaptic extracellular matrix	BCAN	Gene-Term
synapse	MAP1LC3A	Gene-Term
synapse	TTYH1	Gene-Term
synapse	SLC6A11	Gene-Term
extrinsic component of synaptic vesicle membrane	AMPH	Gene-Term
synapse	BIN1	Gene-Term
presynaptic cytosol	FBXO45	Gene-Term
synapse	SLC16A1	Gene-Term
synapse	FKBP1A	Gene-Term
synapse	HNRNPD	Gene-Term
integral component of synaptic vesicle membrane	SLC32A1	Gene-Term
presynapse	CPEB2	Gene-Term
extrinsic component of synaptic vesicle membrane	CLTC	Gene-Term
postsynapse	CPEB2	Gene-Term
integral component of synaptic vesicle membrane	SLC6A17	Gene-Term
integral component of synaptic vesicle membrane	SLC17A8	Gene-Term
presynaptic endocytic zone membrane	CLTC	Gene-Term
synapse	FBXL20	Gene-Term
anchored component of synaptic vesicle membrane	DNAJC5	Gene-Term
extrinsic component of postsynaptic density membrane	AKAP9	Gene-Term
postsynaptic endocytic zone	RNF216	Gene-Term
presynapse	RNF216	Gene-Term
postsynaptic density	KPNA1	Gene-Term
postsynaptic density	KPNA2	Gene-Term
postsynaptic density	CHMP4BP1	Gene-Term
presynapse	SYNJ1	Gene-Term
presynaptic cytosol	NCS1	Gene-Term
postsynaptic cytosol	NCS1	Gene-Term
postsynapse	NCS1	Gene-Term
postsynaptic density	GRASP	Gene-Term
presynapse	NAPA	Gene-Term
presynapse	NAPB	Gene-Term
synapse	NAPG	Gene-Term
integral component of postsynaptic density membrane	IL1RAPL1	Gene-Term
postsynapse	NAPB	Gene-Term
postsynapse	NAPA	Gene-Term
integral component of presynaptic membrane	FXYD6	Gene-Term
integral component of postsynaptic membrane	FXYD6	Gene-Term
synapse	TPD52	Gene-Term
presynaptic endocytic zone membrane	PIP5K1C	Gene-Term
integral component of postsynaptic density membrane	LRRTM3	Gene-Term
integral component of postsynaptic membrane	LRRTM1	Gene-Term
integral component of presynaptic membrane	SLC6A5	Gene-Term
integral component of postsynaptic membrane	SLC6A9	Gene-Term
anchored component of presynaptic active zone membrane	CPLX3	Gene-Term
integral component of synaptic vesicle membrane	SLC6A9	Gene-Term
anchored component of synaptic vesicle membrane	CPLX3	Gene-Term
presynapse	SYNJ2	Gene-Term
postsynaptic density	ANKS1B	Gene-Term
presynaptic cytosol	ANKS1B	Gene-Term
postsynaptic density	CRTC1	Gene-Term
integral component of presynaptic membrane	SLC6A1	Gene-Term
integral component of postsynaptic membrane	SLC6A1	Gene-Term
