,genes
1638,EFNB1
1639,PDPR
1640,AARS
1641,GLG1
1642,KIF4A
1643,TNRC6A
1644,PLEKHG2
1645,DLL3
1646,NAT14
1647,PITPNM2
1648,EXOC1
1649,RBM27
1650,OSBPL8
1651,DTX2
1652,NLRC4
1653,PUS7
1654,NRCAM
1655,LAMB1
1656,SLC26A4
1657,DLD
1658,WDR7
1659,TXNL1
1660,IL5RA
1661,ABCC6
1662,CMTM6
1663,ITGA6
1664,RAPGEF4
1665,MAP3K20
1666,FH
1667,SEL1L3
1668,TF
1669,CDV3
1670,MYO15A
1671,ALKBH5
1672,APOH
1673,PITPNM3
1674,SPAG7
1675,ORC6
1676,ZFHX4
1677,ZC3HC1
1678,RGS17
1679,ANGPT2
1680,TMEM101
1681,CD200
1682,CCDC80
1683,CMA1
1684,PSME1
1685,PPP2R3C
